pollster,sponsors,sponsor_candidate,state,start_date,end_date,sample_size,population,candidate_name,pct,party,url,mode,tracking,partisan,internal,hypothetical
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Antonio Ramón Villaraigosa,13,DEM,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Tony K. Thurmond,4,DEM,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Toni G. Atkins,4,DEM,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Betty T. Yee,7,DEM,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Eleni Kounalakis,10,DEM,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Steve Hilton,10,REP,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
Tulchin Research,Antonio Ramón Villaraigosa,Antonio Ramón Villaraigosa,California,2024-08-08,2024-08-12,800,LV,Brian Dahle,13,REP,https://www.politico.com/newsletters/california-playbook/2024/08/29/the-jam-stops-here-00176692,NA,FALSE,DEM,TRUE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Katie Porter,14,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Brian Dahle,5.3,REP,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Chad Bianco,4.7,REP,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Steve Hilton,4,REP,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Rob Bonta,3.5,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Xavier Becerra,2.9,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Rick Caruso,2.6,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Betty T. Yee,2.6,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Eleni Kounalakis,2.1,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Toni G. Atkins,1.3,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Lanhee Chen,1.7,REP,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Tony K. Thurmond,1.3,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Eleni Kounalakis,4.5,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Betty T. Yee,4.5,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Toni G. Atkins,2.7,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Tony K. Thurmond,2.6,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Antonio Ramón Villaraigosa,7.6,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
University of Southern California,NA,NA,California,2024-09-12,2024-09-25,1685,LV,Antonio Ramón Villaraigosa,2.6,DEM,https://today.usc.edu/wp-content/uploads/2024/09/California-Elections-and-Policy-Poll-Statewide-Poll-Toplines-and-Crosstabs-FINAL.pdf,Email,FALSE,NA,FALSE,TRUE
David Binder Research,Eleni Kounalakis,Eleni Kounalakis,California,2024-10-10,2024-10-15,NA,NAN,Tony K. Thurmond,7,DEM,https://www.politico.com/newsletters/california-playbook/2024/10/25/rob-bonta-gives-back-72k-in-fraught-campaign-funds-00185460,NA,FALSE,DEM,TRUE,TRUE
David Binder Research,Eleni Kounalakis,Eleni Kounalakis,California,2024-10-10,2024-10-15,NA,NAN,Eleni Kounalakis,18,DEM,https://www.politico.com/newsletters/california-playbook/2024/10/25/rob-bonta-gives-back-72k-in-fraught-campaign-funds-00185460,NA,FALSE,DEM,TRUE,TRUE
David Binder Research,Eleni Kounalakis,Eleni Kounalakis,California,2024-10-10,2024-10-15,NA,NAN,Toni G. Atkins,6,DEM,https://www.politico.com/newsletters/california-playbook/2024/10/25/rob-bonta-gives-back-72k-in-fraught-campaign-funds-00185460,NA,FALSE,DEM,TRUE,TRUE
David Binder Research,Eleni Kounalakis,Eleni Kounalakis,California,2024-10-10,2024-10-15,NA,NAN,Betty T. Yee,4,DEM,https://www.politico.com/newsletters/california-playbook/2024/10/25/rob-bonta-gives-back-72k-in-fraught-campaign-funds-00185460,NA,FALSE,DEM,TRUE,TRUE
David Binder Research,Eleni Kounalakis,Eleni Kounalakis,California,2024-10-10,2024-10-15,NA,NAN,John Cox,27,REP,https://www.politico.com/newsletters/california-playbook/2024/10/25/rob-bonta-gives-back-72k-in-fraught-campaign-funds-00185460,NA,FALSE,DEM,TRUE,TRUE
David Binder Research,Eleni Kounalakis,Eleni Kounalakis,California,2024-10-10,2024-10-15,NA,NAN,Antonio Ramón Villaraigosa,9,DEM,https://www.politico.com/newsletters/california-playbook/2024/10/25/rob-bonta-gives-back-72k-in-fraught-campaign-funds-00185460,NA,FALSE,DEM,TRUE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Katie Porter,10,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Brian Dahle,6,REP,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Eleni Kounalakis,3,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Steve Hilton,3,REP,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Rob Bonta,3,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Xavier Becerra,3,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Chad Bianco,8,REP,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Rick Caruso,2,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Lanhee Chen,2,REP,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Tony K. Thurmond,1,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Toni G. Atkins,1,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Antonio Ramón Villaraigosa,4,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
University of California Berkeley,Los Angeles Times,NA,California,2024-10-22,2024-10-29,4838,RV,Betty T. Yee,2,DEM,https://escholarship.org/uc/item/97b1p0sq,Email,FALSE,NA,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Antonio Ramón Villaraigosa,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Chad Bianco,14,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Steve Garvey,21,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Stephen J. Cloobeck,1,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Tony K. Thurmond,2,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Eleni Kounalakis,9,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Betty T. Yee,6,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Katie Porter,24,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Toni G. Atkins,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Katie Porter,21,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,618,LV,Xavier Becerra,6,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Eleni Kounalakis,8,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Rob Bonta,6,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Rick Caruso,5,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Laphonza Romanique Butler,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Tony K. Thurmond,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Betty T. Yee,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Xavier Becerra,2,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Toni G. Atkins,1,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Stephen J. Cloobeck,0,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Steve Garvey,18,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Brian Dahle,9,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Chad Bianco,6,REP,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Breakthrough Campaigns,Woman Up (PAC),NA,California,2024-11-22,2024-11-26,610,LV,Antonio Ramón Villaraigosa,3,DEM,https://www.politico.com/newsletters/california-playbook/2024/12/11/katie-porter-joins-the-2026-internal-poll-club-00193698,NA,FALSE,DEM,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Lanhee Chen,10,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Betty T. Yee,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,John Cox,21,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Rick Caruso,8,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Laphonza Romanique Butler,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Xavier Becerra,4,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Toni G. Atkins,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Rob Bonta,7,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Eleni Kounalakis,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Kamala Harris,23,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Katie Porter,16,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Tony K. Thurmond,1,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Stephen J. Cloobeck,0,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Antonio Ramón Villaraigosa,2,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Eleni Kounalakis,5,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Xavier Becerra,5,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Stephen J. Cloobeck,0,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Katie Porter,26,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Lanhee Chen,9,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,Betty T. Yee,3,DEM,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
Capitol Weekly,NA,NA,California,2025-02-03,2025-02-07,1200,RV,John Cox,21,REP,https://capitolweekly.net/ca-120-dems-in-a-funk-but-harris-and-newsom-could-still-shine/,NA,FALSE,NA,FALSE,TRUE
