Pollster,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat
Mercyhurst University,B/C@@8,.5621270980602737,R+0.02@@-.02,1,R+
Odney,B/C@@8,.5621270980602737,D+0.05@@.05,1,D+
Montgomery Research,B/C@@8,.5622172042913469,R+0.24@@-.24,1,R+
Thirty-Ninth Street Strategies,B/C@@8,.5628957128058493,R+0.07@@-.07,1,R+
University of Tennessee,B/C@@8,.5646744328089763,R+0.07@@-.07,2,R+
University of New Hampshire,B-@@7,.5651936783278549,D+2.05@@2.05,150,D+
Diamond State Consulting Group,B/C@@8,.5656071437577919,D+0.10@@.1,1,D+
GreatBlue Research,B/C@@8,.5657427465889232,R+0.02@@-.02,2,R+
Market Solutions Group,B/C@@8,.5686621510405386,R+0.00@@0,4,R+
Reconnect Research/Probolsky Research,B/C@@8,.5695308248876961,R+0.13@@-.13,2,R+
Frank N. Magid Associates Inc.,B/C@@8,.5697103016243761,D+0.34@@.34,5,D+
Myers Research & Strategic Services,B/C@@8,.5716205566810143,D+0.11@@.11,2,D+
Valley Research,B/C@@8,.5723418343167394,D+0.32@@.32,8,D+
Quest Research Group,B/C@@8,.5728251875343965,R+0.10@@-.1,5,R+
Garin-Hart-Yang/Global Strategy Group,B/C@@8,0.572898841,R+0.02@@-.02,1,R+
DHM Research,B/C@@8,.5729474878010811,R+0.07@@-.07,14,R+
West Chester University,B/C@@8,.5735661599941877,D+0.08@@.08,7,D+
The Polling Company Inc.,B/C@@8,.5737111513644862,R+0.85@@-.85,7,R+
Manhattanville College,B/C@@8,0.575016016,R+0.13@@-.13,3,R+
The Citadel,B/C@@8,.5754920363559316,D+0.30@@.3,3,D+
Franklin Pierce University,B/C@@8,0.575830198,D+0.58@@.58,17,D+
JMC Analytics/Bold Blue Campaigns,B/C@@8,.5779349719292254,R+0.84@@-.84,5,R+
Seven Letter Insight,B/C@@8,.5788276018294816,D+0.12@@.12,1,D+
Baruch College Survey Research,B/C@@8,.5804492990574481,±0.00@@0,2,±
Crantford Research,B/C@@8,0.58227719,D+0.05@@.05,1,D+
Rivercity Polling,B/C@@8,0.58227719,R+0.13@@-.13,1,R+
Victory Research,B/C@@8,.5839602619357528,D+0.26@@.26,11,D+
Lincoln Institute,B/C@@8,.5842077215304722,R+0.08@@-.08,2,R+
Centre College,B/C@@8,.5866383995130073,D+0.12@@.12,1,D+
Florida International University/Univision,B/C@@8,.5904352374501879,D+0.03@@.03,1,D+
Penta,B/C@@8,.5910199581481042,R+0.13@@-.13,1,R+
Becker Institute,B/C@@8,.5947729530719543,D+0.27@@.27,5,D+
War Room Logistics,B/C@@8,.5962440922570569,±0.00@@0,1,±
Zimmerman & Associates/Marketing Intelligence,B/C@@8,.5962979866657118,D+0.15@@.15,3,D+
Cromer Group,B/C@@8,.6026505719570038,R+0.06@@-.06,1,R+
Canisius College,B/C@@8,.6036860050308261,±0.00@@0,1,±
Central Surveys Inc.,B/C@@8,.6036860050308261,D+0.02@@.02,1,D+
Morningside College,B/C@@8,.6044348249278391,±0.00@@0,1,±
OurProgress (The Progress Campaign),F@@16,0.605332728,±0.00@@0,1,±
Wood Communications Group,B/C@@8,.6063395143316589,D+0.02@@.02,1,D+
BIGresearch,B/C@@8,.6064543847500333,R+0.02@@-.02,1,R+
Escalent,B/C@@8,.6090334538846331,R+0.01@@-.01,1,R+
Cooper & Secrest,B/C@@8,.6090334538846331,R+0.03@@-.03,1,R+
Minneapolis Star Tribune,B/C@@8,0.610155111,D+0.62@@.62,14,D+
Analytical Group,B/C@@8,.6117513372596594,D+0.04@@.04,1,D+
Rossman Group,B/C@@8,.6131619150587514,D+0.08@@.08,1,D+
Dynamics Marketing,B/C@@8,.6136734800718847,D+0.03@@.03,1,D+
Vox Populi Communications,B/C@@8,.6136734800718847,±0.00@@0,1,±
Diversified Research Inc,B/C@@8,.6136734800718847,R+0.05@@-.05,1,R+
QEV Analytics,B/C@@8,.6167169155629852,±0.00@@0,1,±
Southeastern Louisiana University,B/C@@8,.6174263811077061,D+0.07@@.07,8,D+
Wick Communications,B/C@@8,.6175456849236206,D+0.04@@.04,1,D+
"Lauer, Lalley, Victoria",B/C@@8,.6176979238981738,R+0.01@@-.01,1,R+
HighGround Inc.,B/C@@8,.6177298394527642,R+0.09@@-.09,6,R+
CallFire,B/C@@8,.6192010451541849,R+0.34@@-.34,4,R+
Market Trends Pacific,B/C@@8,.6194172001222206,D+0.05@@.05,1,D+
Paradigm,B/C@@8,.6218749840186563,D+0.37@@.37,2,D+
Triumph Campaigns,B/C@@8,.6221348723560491,R+0.12@@-.12,1,R+
Neighborhood Research and Media,B/C@@8,.6226697233373198,R+0.04@@-.04,3,R+
20/20 Insight,B/C@@8,.6245318101310146,D+0.41@@.41,8,D+
Victoria Research & Consulting,B/C@@8,0.627950402,D+0.10@@.1,1,D+
Jorge BenÃ­tez,B/C@@8,.6291376330740794,±0.00@@0,4,±
Strategy Research,B/C@@8,.6305079035016393,R+0.39@@-.39,2,R+
Iona University,B/C@@8,.6313801817508452,D+0.09@@.09,1,D+
ASA Marketing Group,B/C@@8,.6319642826833585,D+0.08@@.08,1,D+
Dartmouth College,B/C@@8,0.632384181,±0.00@@0,3,±
African American Research Collaborative,B/C@@8,0.632749383,D+0.12@@.12,1,D+
TargetSmart,B/C@@8,.6335359308846156,D+0.45@@.45,3,D+
New Mexico State University,B/C@@8,.6337166237810974,±0.00@@0,1,±
Probolsky Research,B/C@@8,.6338302104276158,R+0.53@@-.53,3,R+
NRECA Market Research,B/C@@8,.6341253646230212,D+0.05@@.05,1,D+
Beacon Research,B/C@@8,.6356269027753156,±0.00@@0,5,±
Clarus Research Group,B/C@@8,.6357480808579152,D+0.23@@.23,3,D+
Deltapoll,B/C@@8,.6374732597042888,D+0.24@@.24,1,D+
Old Dominion University,B/C@@8,.6408866370449263,D+0.11@@.11,1,D+
West Virginia Research Center,B/C@@8,.6412198215891711,D+0.12@@.12,2,D+
Dixie Strategies,B/C@@8,.6418733346536867,R+0.90@@-.9,11,R+
Rice University,B/C@@8,.6422602098888417,D+0.13@@.13,2,D+
Alloy Analytics,B/C@@8,.6424322590108127,R+0.21@@-.21,1,R+
Illinois Wesleyan University,B/C@@8,.6432081700151319,R+0.25@@-.25,3,R+
Multi-Quest International,B/C@@8,.6432976661737133,R+0.00@@0,4,R+
Independent Market Research,B/C@@8,.6449170153195891,D+0.09@@.09,2,D+
Global Strategy Group/GBAO (Navigator Research),B/C@@8,.6473057424344295,D+0.82@@.82,4,D+
Aspen Media & Market Research,B/C@@8,.6480592453056965,R+0.00@@0,3,R+
The Florida Poll,B/C@@8,.6488807916405568,D+0.21@@.21,5,D+
Marketing Research Institute,B/C@@8,.6494916437298889,R+0.08@@-.08,1,R+
Dynata,B/C@@8,.6500340729097882,±0.00@@0,2,±
Merrill Poll,B/C@@8,.6500863197751482,±0.00@@0,2,±
SmithJohnson Opinion Research,B/C@@8,.6521391406442256,R+0.15@@-.15,1,R+
Harper Polling/Clarity Campaign Labs,B/C@@8,.6565816601100843,D+0.26@@.26,1,D+
CrossTarget,B/C@@8,.6605120680074315,R+0.30@@-.3,2,R+
TMR Research,B/C@@8,.6605165623782525,D+0.13@@.13,2,D+
Hellenthal & Associates,B/C@@8,.6609466419357931,D+0.29@@.29,5,D+
Data for Progress,C+@@9,.6627223425357494,D+1.59@@1.59,114,D+
Howey Politics/DePauw University,B/C@@8,.6644449132038261,D+0.07@@.07,7,D+
A&A Research,B/C@@8,.6664743818363909,R+0.11@@-.11,1,R+
Premise,B/C@@8,.6668246565803484,D+0.21@@.21,1,D+
Decision Forecasting,B/C@@8,.6671745409929989,R+0.04@@-.04,3,R+
Feldman Group,B/C@@8,.6680600254297233,D+0.16@@.16,2,D+
American Pulse Research & Polling,B/C@@8,.6701624273711058,D+0.41@@.41,2,D+
St. Pete Polls,C+@@9,0.671787003,D+0.69@@.69,31,D+
"California State University, Bakersfield",B/C@@8,.6756994073575777,R+0.10@@-.1,1,R+
Southern Opinion Research,B/C@@8,.6764961727145687,D+0.01@@.01,2,D+
Sky Research,B/C@@8,.6765071578316633,R+0.28@@-.28,1,R+
University of Nevada Las Vegas,B/C@@8,.6767334302827684,±0.00@@0,1,±
Swayable,C+@@9,.6781998536910047,D+3.80@@3.8,89,D+
Detroit Free Press,B/C@@8,.6788043479203075,D+0.10@@.1,1,D+
University of Illinois at Chicago,B/C@@8,.6795731247022309,R+0.12@@-.12,1,R+
Southern Research Group,B/C@@8,.6808782741579315,D+0.09@@.09,1,D+
Great Lakes Strategies Group,B/C@@8,.6859259606676648,R+0.15@@-.15,1,R+
Public Strategies Inc.,B/C@@8,.6865026277237897,±0.00@@0,6,±
University of North Carolina,B/C@@8,.6866317051578014,D+0.16@@.16,1,D+
Tulsa Surveys,B/C@@8,.6873575022047053,R+0.10@@-.1,1,R+
Abacus Associates,B/C@@8,.6873724628162662,D+0.13@@.13,2,D+
Kimball Political Consulting,B/C@@8,.6880856969976318,R+0.77@@-.77,6,R+
MarketAide Services Inc.,B/C@@8,.6882815429165214,D+0.12@@.12,1,D+
MarblePort,B/C@@8,.6892492793510961,R+0.30@@-.3,2,R+
Liberty Opinion Research,B/C@@8,.6893874514170751,±0.00@@0,1,±
Opinion Consultants,B/C@@8,.6920569295163859,R+0.19@@-.19,2,R+
Hill Research Consultants,B/C@@8,.6934928346191757,R+0.14@@-.14,6,R+
SocialSphere,B/C@@8,0.693613796,R+0.31@@-.31,2,R+
Forman Center,B/C@@8,0.693750323,D+0.18@@.18,2,D+
TeleResearch Corporation,B/C@@8,.6950679701097603,±0.00@@0,1,±
Hays Research Group,B/C@@8,.6951460521149734,D+0.74@@.74,9,D+
"Normington, Petts & Associates",B/C@@8,.6953235274508357,D+0.69@@.69,12,D+
Arthur J. Finkelstein & Associates,B/C@@8,.6956737722620416,R+0.15@@-.15,1,R+
Bannon Communications Research,B/C@@8,.6959792065542812,D+0.25@@.25,2,D+
Patinkin Research Strategies,B/C@@8,.6971600961586135,D+0.76@@.76,4,D+
SMS Research & Marketing Services,B/C@@8,.6991686665318562,R+0.13@@-.13,1,R+
Baselice & Associates,B/C@@8,.7008241702722111,D+0.23@@.23,2,D+
GaPundit.com,B/C@@8,.7012095153301435,D+0.42@@.42,2,D+
Zata3,B/C@@8,.7025312583562335,R+0.15@@-.15,2,R+
Castleton University,B/C@@8,.7028432057110321,±0.00@@0,3,±
Glover Park Group,B/C@@8,.7076347086251523,R+0.26@@-.26,1,R+
Ed Renwick/Loyola University New Orleans,B/C@@8,.7125409034499397,D+0.70@@.7,10,D+
Hoffman Research Group,B/C@@8,.7156007005126146,R+0.55@@-.55,3,R+
LIT Data,B/C@@8,.7194129856513083,±0.00@@0,4,±
Auburn University,B/C@@8,.7205962920041318,D+0.61@@.61,2,D+
Morning Consult,C+@@9,.7237042505969115,D+3.37@@3.37,114,D+
Jeffrey Stonecash,B/C@@8,.7240929180605518,R+0.17@@-.17,1,R+
Lycoming College Polling Institute,B/C@@8,.7255160590605791,D+0.37@@.37,3,D+
PSI,B/C@@8,0.728670141,R+0.03@@-.03,3,R+
Ohio University,B/C@@8,.7291621749476238,D+0.26@@.26,2,D+
The Kitchens Group,B/C@@8,0.730399077,D+0.19@@.19,1,D+
Neighbor,B/C@@8,.7313185367348174,R+0.14@@-.14,1,R+
Lester & Associates,B/C@@8,.7327243059333063,±0.00@@0,1,±
Cometrends,B/C@@8,.7342896118954849,D+0.30@@.3,1,D+
Rainmaker Media Group,B/C@@8,.7344914433995652,D+0.21@@.21,1,D+
Gonzales Research & Marketing Strategies Inc.,B/C@@8,.7366196500561638,R+0.51@@-.51,10,R+
Lauer Johnson Research,B/C@@8,0.737509642,D+0.20@@.2,1,D+
brilliant corners Research & Strategies,B/C@@8,.7377068216349361,D+0.49@@.49,1,D+
Consumer Logic,B/C@@8,.7388793371084728,D+0.23@@.23,2,D+
Gazette Communications,B/C@@8,.7406259946771372,D+0.18@@.18,2,D+
Overtime Politics,F@@16,.7410088660291455,±0.00@@0,12,±
University of Colorado (Boulder),B/C@@8,.7414962069238031,D+0.39@@.39,2,D+
St. Cloud State University,B/C@@8,.7418903787973817,D+1.53@@1.53,17,D+
Change Research,C+@@9,.7422105280073152,D+2.68@@2.68,115,D+
University of Texas at Tyler,B/C@@8,.7425415553681406,D+0.77@@.77,10,D+
Minnesota State University,B/C@@8,.7479330718701679,D+0.35@@.35,4,D+
Y2 Analytics,B/C@@8,0.749424316,D+1.08@@1.08,8,D+
A2 Insights,B/C@@8,0.750909158,R+0.89@@-.89,2,R+
Univision/Latino Decisions/North Star Opinion Research,B/C@@8,.7514602058131709,D+1.06@@1.06,7,D+
Data West Polling,B/C@@8,.7540306868525728,D+0.29@@.29,2,D+
WCIA-TV,B/C@@8,0.75651325,R+0.30@@-.3,2,R+
Datamar Analytics,B/C@@8,.7573309398915029,R+0.21@@-.21,8,R+
New Frontier Strategy,B/C@@8,.7600369206074759,±0.00@@0,2,±
University of Alabama at Birmingham,B/C@@8,.7607518757569003,R+0.26@@-.26,2,R+
Nelson Research,B/C@@8,.7616626793320629,R+0.29@@-.29,1,R+
Digital Research,B/C@@8,.7621951698790091,D+0.10@@.1,21,D+
Bold Decision,B/C@@8,.7638345721299682,D+0.39@@.39,1,D+
VCreek/AMG,B/C@@8,0.765297112,D+0.31@@.31,1,D+
EMC Research,B/C@@8,.7680836916373446,D+1.11@@1.11,15,D+
Hunt Research,B/C@@8,0.768919059,D+0.40@@.4,1,D+
Hickman Analytics,B/C@@8,.7693407964617772,D+0.34@@.34,1,D+
Saguaro Strategies,B/C@@8,.7770328608264232,D+0.30@@.3,2,D+
ConsultorÃ­a AcadÃ©mica e InvestigaciÃ³n Social LLC,B/C@@8,.7788672820112079,±0.00@@0,2,±
Open Model Project,B/C@@8,.7792046349621581,R+0.43@@-.43,2,R+
RMS Research,B/C@@8,.7799927522298722,D+0.25@@.25,3,D+
Victory Insights,B/C@@8,.7813716964067383,D+0.96@@.96,9,D+
East Tennessee State University,B/C@@8,.7833580736470038,D+0.66@@.66,2,D+
Colby College,B/C@@8,.7836237374845941,D+1.59@@1.59,6,D+
SSRS,C+@@9,.7865518583207964,D+2.78@@2.78,47,D+
Opinium,B/C@@8,.8009120271132464,D+0.56@@.56,2,D+
Zia Poll,B/C@@8,.8023873636735419,R+0.65@@-.65,4,R+
Thomas Partners Strategies/Optimus,B/C@@8,.8026335794625834,R+0.73@@-.73,2,R+
Global Marketing Research Services,B/C@@8,0.803409781,D+0.38@@.38,1,D+
Capital Survey Research Center,B/C@@8,.8050513164159347,D+0.02@@.02,13,D+
The Justice Collaborative Institute,B/C@@8,.8227469758047704,D+0.51@@.51,2,D+
Baydoun Consulting,B/C@@8,.8272914062336414,R+0.75@@-.75,6,R+
Arizona State University,B/C@@8,.8345456426291763,D+0.43@@.43,8,D+
Bluegrass Community and Technical College,B/C@@8,.8369284412160142,D+0.84@@.84,2,D+
Marketing Resource Group (MRG),B/C@@8,.8378601069822912,D+0.25@@.25,10,D+
Phillips Academy,B/C@@8,.8464190471368507,R+0.89@@-.89,7,R+
Victory Enterprises,B/C@@8,.8491131681841283,R+0.39@@-.39,1,R+
GCR & Associates,B/C@@8,.8500293306822738,±0.00@@0,1,±
Clout Research,B/C@@8,.8505321328643591,R+1.56@@-1.56,16,R+
Brandwatch Qriously,B/C@@8,.8552280886442678,D+0.72@@.72,3,D+
Schapiro Group,B/C@@8,.8668507086326966,±0.00@@0,2,±
Millersville University,B/C@@8,.8695402548842187,R+0.48@@-.48,5,R+
Miami Univerity,B/C@@8,.8698571012162173,D+0.69@@.69,2,D+
Hampton University,B/C@@8,.8755959506762295,R+0.63@@-.63,4,R+
Bainbridge Media Group,B/C@@8,.8817466935461562,D+0.36@@.36,1,D+
Loras College,B/C@@8,.8971143102180437,D+1.27@@1.27,18,D+
Massie & Associates,B/C@@8,.8973692873159501,R+0.40@@-.4,2,R+
University of Iowa,B/C@@8,.9046359703168112,R+0.24@@-.24,3,R+
Survation,B/C@@8,.9121056394355957,D+0.61@@.61,2,D+
Constituent Dynamics,B/C@@8,.9137487068288143,±0.00@@0,7,±
DeSales University,B/C@@8,.9240981647988443,D+0.57@@.57,1,D+
Greg Smith & Associates,B/C@@8,.9242638885191735,D+0.72@@.72,5,D+
Cole Hargrave Snodgrass & Associates,B/C@@8,.9291116712774588,D+0.07@@.07,5,D+
Roanoke College,B/C@@8,.9421156207027468,D+0.63@@.63,23,D+
Hendrix College,B/C@@8,.9427575067206728,D+1.79@@1.79,18,D+
Kiaer Research,B/C@@8,.9459263007774878,D+0.81@@.81,2,D+
Marketing Workshop,B/C@@8,.9472239956269507,D+0.26@@.26,8,D+
Momentum Analysis,B/C@@8,.9527516711294661,D+0.28@@.28,3,D+
Craciun Research Group,B/C@@8,.9535996349305835,D+0.58@@.58,1,D+
Western Kentucky University,B/C@@8,.9699859170528125,D+0.70@@.7,4,D+
Market Research Insight,B/C@@8,.9713429683408339,R+0.45@@-.45,27,R+
Citizen Data,B/C@@8,.9858758072695215,D+2.34@@2.34,12,D+
IZQ Strategies,B/C@@8,.9877728516061791,±0.00@@0,1,±
Truedot,B/C@@8,1.039956598288338,D+0.95@@.95,2,D+
Baldwin Wallace University,B/C@@8,1.044619228361046,D+1.29@@1.29,4,D+
Amber Integrated,B/C@@8,1.062751775,D+1.87@@1.87,8,D+
Quantus Polls and News,B/C@@8,1.067172136,R+1.44@@-1.44,3,R+
BWD Global,B/C@@8,1.083400494074233,R+0.11@@-.11,2,R+
Rutgers University,B/C@@8,1.089606712487071,D+0.97@@.97,19,D+
Repass,B/C@@8,1.093682425141526,D+0.06@@.06,4,D+
We Ask America,C@@10,1.09412656,R+0.78@@-.78,56,R+
Carroll Strategies,B/C@@8,1.100960167079907,R+1.51@@-1.51,5,R+
Glascock Group,B/C@@8,1.114038083107071,D+0.19@@.19,2,D+
Tomahawk Strategies,B/C@@8,1.115790629008157,D+0.78@@.78,1,D+
ccAdvertising,B/C@@8,1.130328402702726,R+2.24@@-2.24,33,R+
Center Street PAC,B/C@@8,1.136593149752133,D+1.55@@1.55,4,D+
Thomas Partners Strategies,B/C@@8,1.140636877977625,R+1.04@@-1.04,2,R+
American Research Group,C@@10,1.140848725968196,D+0.07@@.07,280,D+
Dane & Associates,B/C@@8,1.156886712,R+0.72@@-.72,2,R+
GOP Calls,B/C@@8,1.157485058356481,R+0.81@@-.81,2,R+
Mitchell Research & Communications,C@@10,1.160899781550699,D+0.94@@.94,82,D+
McLaughlin & Associates,B/C@@8,1.162745975742528,R+1.70@@-1.7,29,R+
Meredith College,B/C@@8,1.170447392109057,D+1.05@@1.05,6,D+
Riggs Research Services,B/C@@8,1.170527639035818,D+0.66@@.66,1,D+
FM3 Research,B/C@@8,1.183279947999981,D+1.84@@1.84,11,D+
Saint Leo University Polling Institute,B/C@@8,1.194669073982683,D+1.38@@1.38,6,D+
SoonerPoll.com,B/C@@8,1.195003856996137,D+2.66@@2.66,26,D+
CPEC,B/C@@8,1.202015837927682,±0.00@@0,2,±
TargetPoint,B/C@@8,1.211846803679715,±0.00@@0,2,±
University of Minnesota,B/C@@8,1.254728278074399,D+0.43@@.43,10,D+
Elucd,B/C@@8,1.257636595208893,±0.00@@0,4,±
Target Insyght,B/C@@8,1.259839795055931,R+0.49@@-.49,6,R+
"Island Analytics & Marketing, LLC",B/C@@8,1.268867720939071,±0.00@@0,1,±
Opinion Research Associates,B/C@@8,1.289729423515461,D+1.61@@1.61,14,D+
Capen Analytics,B/C@@8,1.295152583392523,±0.00@@0,1,±
Merriman River Group,C/D@@12,1.323132959750452,R+2.76@@-2.76,25,R+
Trafalgar Group/Insider Advantage,C/D@@12,1.323232867070685,R+1.91@@-1.91,3,R+
Brigham Young University,C/D@@12,1.375887130672555,D+1.60@@1.6,4,D+
Triton Polling & Research,C/D@@12,1.386750216672128,D+0.98@@.98,3,D+
University of Wyoming,C/D@@12,1.464777582811727,D+2.22@@2.22,5,D+
RABA Research,C/D@@12,1.472903523157988,D+2.44@@2.44,9,D+
Point Blank Political,C/D@@12,1.498068259807644,±0.00@@0,6,±
The Political Matrix/The Listener Group,C/D@@12,1.515399329,D+1.45@@1.45,12,D+
SurveyMonkey,D+@@13,1.632810519,D+4.63@@4.63,268,D+
TCJ Research,F@@16,1.647976730103931,R+4.07@@-4.07,132,R+
Brown University,C/D@@12,1.676666498945873,R+0.20@@-.2,14,R+
Indiana University-Purdue University Fort Wayne (Downs Center),C/D@@12,1.770959720020182,±0.00@@0,3,±
Long Island University,C/D@@12,1.774155617292055,D+1.88@@1.88,4,D+
Nielson Brothers Polling,C/D@@12,2.006297427228952,D+3.05@@3.05,11,D+
Ascend Action,C/D@@12,2.237616547647299,D+3.35@@3.35,6,D+
Jayhawk Consulting Services,C/D@@12,2.297562255,D+2.27@@2.27,2,D+
Fort Hays State University,C/D@@12,2.498997700544478,R+1.10@@-1.1,6,R+
The Dartmouth Poll,C/D@@12,3.689177135226559,D+4.40@@4.4,4,D+